student_id,degree,degree_centrality,weighted_strength,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community
11,28,0.3256,11.7691,0.0034,0.5666,0.0923,0.7169,1
12,25,0.2907,10.7707,0.0232,0.5585,0.0813,0.73,1
13,38,0.4419,18.1894,0.0081,0.6108,0.1226,0.6757,1
14,26,0.3023,11.1845,0.003,0.5468,0.0861,0.7292,3
16,41,0.4767,18.0638,0.007,0.6205,0.1364,0.7134,2
17,16,0.186,6.3088,0.0022,0.5012,0.0446,0.6083,3
18,38,0.4419,16.6809,0.008,0.6061,0.1212,0.6515,4
19,41,0.4767,18.2604,0.0307,0.6305,0.117,0.539,1
20,25,0.2907,10.5722,0.0011,0.5506,0.0884,0.8167,2
21,40,0.4651,19.0386,0.0085,0.6156,0.131,0.6859,2
22,6,0.0698,2.4516,0.0,0.4519,0.0202,0.9333,2
24,29,0.3372,13.37,0.002,0.5666,0.0981,0.7759,1
26,15,0.1744,6.0099,0.0026,0.498,0.0444,0.581,4
29,24,0.2791,10.3411,0.0031,0.543,0.0722,0.6196,4
31,4,0.0465,1.6323,0.0,0.4368,0.0148,1.0,2
32,42,0.4884,19.5734,0.0069,0.6305,0.1382,0.6911,3
35,52,0.6047,24.4431,0.0143,0.6919,0.1614,0.6048,3
36,5,0.0581,1.9578,0.0001,0.4493,0.0146,0.6,3
37,44,0.5116,20.3895,0.0105,0.6409,0.1425,0.6681,3
38,46,0.5349,22.9136,0.0124,0.657,0.1481,0.6599,1
40,0,0.0,0.0,0.0,0.0,0.0,0.0,5
41,35,0.407,16.1484,0.0264,0.5923,0.1133,0.6773,2
42,2,0.0233,0.817,0.0,0.3949,0.0048,1.0,1
43,42,0.4884,18.0091,0.0139,0.6357,0.131,0.6109,3
45,36,0.4186,16.1974,0.013,0.6061,0.1176,0.6794,2
46,37,0.4302,16.5313,0.0021,0.6014,0.1295,0.7823,2
48,10,0.1163,4.1006,0.0003,0.4826,0.0331,0.7111,4
49,55,0.6395,28.448,0.0166,0.7173,0.1713,0.6088,4
50,45,0.5233,22.9438,0.013,0.6462,0.1466,0.6747,2
52,31,0.3605,13.8783,0.0052,0.5749,0.1031,0.7161,2
53,48,0.5581,22.8407,0.029,0.6626,0.1458,0.5966,2
54,42,0.4884,19.2989,0.0097,0.6305,0.1362,0.6632,3
55,58,0.6744,28.1246,0.0192,0.7376,0.1762,0.5765,1
56,20,0.2326,8.2473,0.0054,0.5144,0.0534,0.5263,1
57,46,0.5349,22.0946,0.0149,0.6462,0.1436,0.63,4
58,7,0.0814,2.6857,0.0002,0.4626,0.0211,0.6667,3
59,21,0.2442,8.6142,0.0017,0.5283,0.069,0.7524,1
61,56,0.6512,28.8312,0.0164,0.7173,0.1735,0.6026,4
62,20,0.2326,8.5018,0.0035,0.5247,0.0552,0.6053,4
63,5,0.0581,2.1079,0.0,0.4392,0.0157,0.7,2
64,36,0.4186,15.8921,0.0041,0.6014,0.1226,0.746,3
65,6,0.0698,2.3558,0.0,0.4572,0.0202,0.9333,2
66,44,0.5116,21.2151,0.0047,0.6409,0.1498,0.7315,4
67,51,0.593,25.4737,0.0149,0.6858,0.1623,0.6431,1
69,10,0.1163,3.8628,0.0002,0.4826,0.033,0.7333,1
70,55,0.6395,26.5643,0.0255,0.7108,0.1684,0.5899,1
72,22,0.2558,9.6193,0.0078,0.5392,0.0724,0.71,1
74,44,0.5116,19.8356,0.0079,0.6357,0.1427,0.6649,4
79,12,0.1395,5.113,0.001,0.4797,0.0278,0.5909,4
80,35,0.407,15.5307,0.0084,0.5968,0.113,0.6605,2
